Company_Name,Job Title,Location,Salary,Company_Rating,Job_Post_Age,Company_Size,Co_Founded_in,Company_Type,Industry,Sector,Revenue,Website,Data_Collected_on,Hourly,Min_Sal,Max_Sal,Average_Salary,State_Code,Age_of_Co,State_Name
TikTok,"Data Scientist, Experimentation-Data Platform","Mountain View, CA",$93K - $185K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,93,185,139.0,CA,5.0,California
Matroid,Deep Learning Solutions Engineer,"Palo Alto, CA",$96K - $190K (Glassdoor est.),4.7,1d,1 to 50 Employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.matroid.com/,07-10-2021 23:05,0,96,190,143.0,CA,5.0,California
Peloton,Senior Machine Learning Engineer,"Santa Clara, CA",$110K - $184K (Glassdoor est.),3.3,5d,1 to 50 Employees,2011.0,Company - Private,Trucking,Transportation & Logistics,$1 to $5 million (USD),http://www.peloton-tech.com/,07-10-2021 23:05,0,110,184,147.0,CA,10.0,California
Tesla,Machine Learning Engineer,"Fremont, CA",$94K - $162K (Glassdoor est.),3.7,30d+,10000+ Employees,2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),http://www.tesla.com/,07-10-2021 23:05,0,94,162,128.0,CA,18.0,California
Adobe,Senior Machine Learning Engineer,"San Jose, CA",$112K - $221K (Glassdoor est.),4.4,2d,10000+ Employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),http://www.adobe.com/,07-10-2021 23:05,0,112,221,166.5,CA,39.0,California
Amazon.com Services LLC,Applied Scientist- AWS AI,"Santa Clara, CA",$96K - $209K (Glassdoor est.),3.8,24h,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,96,209,152.5,CA,27.0,California
TikTok,Machine Learning Engineer - Push Notification,"Mountain View, CA",$98K - $233K (Glassdoor est.),3.6,6d,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,98,233,165.5,CA,5.0,California
"Amazon Dev Center U.S., Inc.",Machine Learning Engineer - AWS,"Santa Clara, CA",$95K - $177K (Glassdoor est.),3.8,21d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,95,177,136.0,CA,27.0,California
Moveworks.ai,Machine Learning Engineer,"Mountain View, CA",$79K - $166K (Glassdoor est.),4.9,17d,201 to 500 Employees,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,http://www.moveworks.com/,07-10-2021 23:05,0,79,166,122.5,CA,5.0,California
Facebook,"Data Scientist, Analytics","Fremont, CA",$104K - $183K (Glassdoor est.),4.3,30d+,10000+ Employees,2004.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.facebook.com/,07-10-2021 23:05,0,104,183,143.5,CA,17.0,California
Facebook,"Data Scientist, Product Analytics","Menlo Park, CA",$119K - $204K (Glassdoor est.),4.3,30d+,10000+ Employees,2004.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.facebook.com/,07-10-2021 23:05,0,119,204,161.5,CA,17.0,California
Juvena Therapeutics,Machine Learning Engineer,"Palo Alto, CA",$87K - $152K (Glassdoor est.),,1d,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.juvenatherapeutics.com/,07-10-2021 23:05,0,87,152,119.5,CA,,California
Amazon.com Services LLC,Data Scientist,"Santa Clara, CA",$107K - $195K (Glassdoor est.),3.8,30d+,,,,,,,,07-10-2021 23:05,0,107,195,151.0,CA,,California
Weee! Inc,Data Scientist/Machine Learning Engineer,"Fremont, CA",$91K - $181K (Glassdoor est.),2.9,30d+,501 to 1000 Employees,2015.0,Company - Private,Grocery Stores & Supermarkets,Retail,$100 to $500 million (USD),http://www.sayweee.com/,07-10-2021 23:05,0,91,181,136.0,CA,6.0,California
Amazon.com Services LLC,Applied Scientist - Machine Learning,"Palo Alto, CA",$99K - $204K (Glassdoor est.),3.8,30d+,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,99,204,151.5,CA,27.0,California
ByteDance,"Research Scientist, Machine Learning Fairness","Mountain View, CA",$105K - $238K (Glassdoor est.),4.3,8d,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,105,238,171.5,CA,9.0,California
JD.com,Applied Scientist,"Mountain View, CA",$65K - $145K (Glassdoor est.),3.6,24h,5001 to 10000 Employees,,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,http://www.jd.com/,07-10-2021 23:05,0,65,145,105.0,CA,,California
Facebook,"Return to Work - Data Scientist, Product Analytics","Menlo Park, CA",$105K - $199K (Glassdoor est.),4.3,30d+,10000+ Employees,2004.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.facebook.com/,07-10-2021 23:05,0,105,199,152.0,CA,17.0,California
99,Data Scientist - Machine Learning,"Mountain View, CA",$77K - $161K (Glassdoor est.),3.9,23d,501 to 1000 Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.99app.com/,07-10-2021 23:05,0,77,161,119.0,CA,9.0,California
ByteDance,"Research Scientist, Machine Learning Fairness","Mountain View, CA",$105K - $238K (Glassdoor est.),4.3,8d,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,105,238,171.5,CA,9.0,California
TikTok,"Research Scientist, Machine Learning Fairness","Mountain View, CA",$99K - $230K (Glassdoor est.),3.6,8d,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,99,230,164.5,CA,5.0,California
TikTok,Machine Learning Engineer - Push Notification,"Mountain View, CA",$98K - $233K (Glassdoor est.),3.6,6d,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,98,233,165.5,CA,5.0,California
ByteDance,Applied Machine Learning Engineer,"Mountain View, CA",$94K - $197K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,94,197,145.5,CA,9.0,California
Bosch Group,Research Scientist – Machine learning,"Sunnyvale, CA",$97K - $199K (Glassdoor est.),3.9,1d,10000+ Employees,1886.0,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),http://www.bosch.us/,07-10-2021 23:05,0,97,199,148.0,CA,135.0,California
DiDi Labs,Machine Learning Engineer,"Mountain View, CA",$94K - $192K (Glassdoor est.),3.9,30d+,Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.didi-labs.com/,07-10-2021 23:05,0,94,192,143.0,CA,,California
JD.com,Applied Scientist,"Mountain View, CA",$65K - $145K (Glassdoor est.),3.6,24h,5001 to 10000 Employees,,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,http://www.jd.com/,07-10-2021 23:05,0,65,145,105.0,CA,,California
Amazon.com Services LLC,Applied Scientist - Machine Learning,"Palo Alto, CA",$99K - $204K (Glassdoor est.),3.8,30d+,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,99,204,151.5,CA,27.0,California
Tesla,Machine Learning Engineer,"Fremont, CA",$94K - $162K (Glassdoor est.),3.7,30d+,10000+ Employees,2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),http://www.tesla.com/,07-10-2021 23:05,0,94,162,128.0,CA,18.0,California
Amazon.com Services LLC,Data Scientist,"Sunnyvale, CA",$100K - $181K (Glassdoor est.),3.8,20d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,100,181,140.5,CA,27.0,California
"Amazon Dev Center U.S., Inc.",Machine Learning Engineer - AWS,"Santa Clara, CA",$95K - $177K (Glassdoor est.),3.8,21d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,95,177,136.0,CA,27.0,California
Amazon.com Services LLC,Applied Scientist,"East Palo Alto, CA",$89K - $168K (Glassdoor est.),3.8,1d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,89,168,128.5,CA,27.0,California
Juvena Therapeutics,Machine Learning Engineer,"Palo Alto, CA",$87K - $152K (Glassdoor est.),,1d,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,http://www.juvenatherapeutics.com/,07-10-2021 23:05,0,87,152,119.5,CA,,California
Moveworks.ai,Machine Learning Engineer,"Mountain View, CA",$79K - $166K (Glassdoor est.),4.9,17d,201 to 500 Employees,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,http://www.moveworks.com/,07-10-2021 23:05,0,79,166,122.5,CA,5.0,California
Adobe,Applied Scientist,"San Jose, CA",$99K - $200K (Glassdoor est.),4.4,30d+,10000+ Employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),http://www.adobe.com/,07-10-2021 23:05,0,99,200,149.5,CA,39.0,California
"Amazon Dev Center U.S., Inc.",Applied Scientist - AWS,"Santa Clara, CA",$102K - $210K (Glassdoor est.),3.8,21d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,102,210,156.0,CA,27.0,California
Johnson & Johnson Family of Companies,Staff Machine Learning Scientist,"Santa Clara, CA",$90K - $177K (Glassdoor est.),4.2,30d+,10000+ Employees,1887.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),http://www.jnj.com/,07-10-2021 23:05,0,90,177,133.5,CA,134.0,California
TikTok,"Machine Learning Engineer, Search","Mountain View, CA",$104K - $230K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,104,230,167.0,CA,5.0,California
Diffbot,Machine Learning Engineer (Research),"Mountain View, CA",$87K - $183K (Glassdoor est.),4.6,30d+,1 to 50 Employees,2011.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,http://www.diffbot.com/,07-10-2021 23:05,0,87,183,135.0,CA,10.0,California
TikTok,"Machine Learning Engineer, Comment","Mountain View, CA",$103K - $199K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,103,199,151.0,CA,5.0,California
Intel,Machine Learning Research Engineer,"Santa Clara, CA",$101K - $176K (Glassdoor est.),4.2,30d+,10000+ Employees,1968.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.intel.com/,07-10-2021 23:05,0,101,176,138.5,CA,53.0,California
ByteDance,Research Scientist in NLP,"Mountain View, CA",$104K - $225K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,104,225,164.5,CA,9.0,California
Blue River Technology,Machine Learning Scientist,"Sunnyvale, CA",$97K - $171K (Glassdoor est.),4.6,30d+,51 to 200 Employees,2011.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.bluerivertechnology.com/,07-10-2021 23:05,0,97,171,134.0,CA,10.0,California
TikTok,Research Scientist in Multimodal Machine Learning,"Mountain View, CA",$102K - $236K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,102,236,169.0,CA,5.0,California
"Krypt, Inc.",Machine Learning Ops Expert,"San Jose, CA",$86K - $179K (Glassdoor est.),4.5,30d+,51 to 200 Employees,2008.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),http://www.kryptinc.com/,07-10-2021 23:05,0,86,179,132.5,CA,13.0,California
Facebook,"Data Scientist, Product Analytics","Menlo Park, CA",$119K - $204K (Glassdoor est.),4.3,30d+,10000+ Employees,2004.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.facebook.com/,07-10-2021 23:05,0,119,204,161.5,CA,17.0,California
Amazon.com Services LLC,Applied Scientist- AWS AI,"Santa Clara, CA",$96K - $209K (Glassdoor est.),3.8,24h,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,96,209,152.5,CA,27.0,California
Gauss Labs Inc,Computer Vision and Image Processing Applied Scientist,"San Jose, CA",$160K (Employer est.),,21d,,,,,,,,07-10-2021 23:05,0,160,160,160.0,CA,,California
Baidu USA,Machine Learning Research Scientist,"Sunnyvale, CA",$101K - $216K (Glassdoor est.),4.1,30d+,201 to 500 Employees,2000.0,Company - Public,Internet,Information Technology,$50 to $100 million (USD),http://usa.baidu.com/,07-10-2021 23:05,0,101,216,158.5,CA,21.0,California
Matroid,Deep Learning Solutions Engineer,"Palo Alto, CA",$96K - $190K (Glassdoor est.),4.7,1d,1 to 50 Employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.matroid.com/,07-10-2021 23:05,0,96,190,143.0,CA,5.0,California
ByteDance,Research Scientist in NLP,"Mountain View, CA",$104K - $225K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,104,225,164.5,CA,9.0,California
Bosch Group,Research Scientist – Machine learning,"Sunnyvale, CA",$97K - $199K (Glassdoor est.),3.9,1d,10000+ Employees,1886.0,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),http://www.bosch.us/,07-10-2021 23:05,0,97,199,148.0,CA,135.0,California
ByteDance,"Research Scientist, Machine Learning Fairness","Mountain View, CA",$105K - $238K (Glassdoor est.),4.3,8d,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,105,238,171.5,CA,9.0,California
"Krypt, Inc.",Machine Learning Ops Expert,"San Jose, CA",$86K - $179K (Glassdoor est.),4.5,30d+,51 to 200 Employees,2008.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),http://www.kryptinc.com/,07-10-2021 23:05,0,86,179,132.5,CA,13.0,California
"JPMorgan Chase Bank, N.A.",Applied AI Machine Learning engineer,"Palo Alto, CA",$86K - $177K (Glassdoor est.),3.6,19d,10000+ Employees,1799.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD),http://www.chase.com/,07-10-2021 23:05,0,86,177,131.5,CA,222.0,California
ByteDance,Applied Machine Learning Engineer,"Mountain View, CA",$94K - $197K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,94,197,145.5,CA,9.0,California
Samsung Research America,Research Scientist – Multimodal Machine Learning,"Mountain View, CA",$119K - $235K (Glassdoor est.),3.4,30d+,1001 to 5000 Employees,1938.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.samsung.com/,07-10-2021 23:05,0,119,235,177.0,CA,83.0,California
TikTok,"Machine Learning Engineer, Search","Mountain View, CA",$104K - $230K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,104,230,167.0,CA,5.0,California
Amazon.com Services LLC,Applied Scientist- AWS AI,"Santa Clara, CA",$96K - $209K (Glassdoor est.),3.8,24h,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,96,209,152.5,CA,27.0,California
TikTok,Research Scientist in Multimodal Machine Learning,"Mountain View, CA",$102K - $236K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,102,236,169.0,CA,5.0,California
TikTok,"Machine Learning Engineer, Comment","Mountain View, CA",$103K - $199K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,103,199,151.0,CA,5.0,California
"Agilent Technologies, Inc.",Digital Data Scientist,"Santa Clara, CA",$87K - $178K (Glassdoor est.),4.2,24h,10000+ Employees,1999.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),http://www.agilent.com/go/careers,07-10-2021 23:05,0,87,178,132.5,CA,22.0,California
Amazon.com Services LLC,Applied Scientist - Machine Learning,"Palo Alto, CA",$99K - $204K (Glassdoor est.),3.8,30d+,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,99,204,151.5,CA,27.0,California
Gauss Labs Inc,Machine Learning and Data Science Applied Scientist,"San Jose, CA",$160K (Employer est.),,21d,,,,,,,,07-10-2021 23:05,0,160,160,160.0,CA,,California
DiDi Labs,Machine Learning Engineer,"Mountain View, CA",$94K - $192K (Glassdoor est.),3.9,30d+,Unknown,,Company - Public,,,Unknown / Non-Applicable,http://www.didi-labs.com/,07-10-2021 23:05,0,94,192,143.0,CA,,California
JD.com,Applied Scientist,"Mountain View, CA",$65K - $145K (Glassdoor est.),3.6,24h,5001 to 10000 Employees,,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,http://www.jd.com/,07-10-2021 23:05,0,65,145,105.0,CA,,California
TikTok,"Research Scientist, Machine Learning Fairness","Mountain View, CA",$99K - $230K (Glassdoor est.),3.6,8d,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,99,230,164.5,CA,5.0,California
ByteDance,Data Scientist,"Mountain View, CA",$95K - $195K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,95,195,145.0,CA,9.0,California
NVIDIA,Data Scientist,"Santa Clara, CA",$106K - $181K (Glassdoor est.),4.6,2d,10000+ Employees,1993.0,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),http://www.nvidia.com/,07-10-2021 23:05,0,106,181,143.5,CA,28.0,California
"Amazon Dev Center U.S., Inc.",Applied Scientist - AWS,"Santa Clara, CA",$102K - $210K (Glassdoor est.),3.8,21d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,102,210,156.0,CA,27.0,California
Amazon.com Services LLC,Applied Scientist,"East Palo Alto, CA",$89K - $168K (Glassdoor est.),3.8,1d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,89,168,128.5,CA,27.0,California
TikTok,Research Scientist in NLP,"Mountain View, CA",$97K - $215K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,97,215,156.0,CA,5.0,California
Cisco Systems,Data Scientist - Webex Analytics Platform,"Milpitas, CA",$98K - $163K (Glassdoor est.),4.3,9d,10000+ Employees,1984.0,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.cisco.com/,07-10-2021 23:05,0,98,163,130.5,CA,37.0,California
Tesla,Machine Learning Engineer,"Fremont, CA",$94K - $162K (Glassdoor est.),3.7,30d+,10000+ Employees,2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),http://www.tesla.com/,07-10-2021 23:05,0,94,162,128.0,CA,18.0,California
Blue River Technology,Machine Learning Scientist,"Sunnyvale, CA",$97K - $171K (Glassdoor est.),4.6,30d+,51 to 200 Employees,2011.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.bluerivertechnology.com/,07-10-2021 23:05,0,97,171,134.0,CA,10.0,California
Tesla,"Deep Learning Engineer, Autopilot AI","Palo Alto, CA",$89K - $181K (Glassdoor est.),3.7,24h,10000+ Employees,2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),http://www.tesla.com/,07-10-2021 23:05,0,89,181,135.0,CA,18.0,California
"Amazon Dev Center U.S., Inc.",Machine Learning Engineer - AWS,"Santa Clara, CA",$95K - $177K (Glassdoor est.),3.8,21d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,95,177,136.0,CA,27.0,California
STAR Labs,"Applied Research Scientist, Machine Learning","Los Gatos, CA",$83K - $178K (Glassdoor est.),3.4,30d+,1 to 50 Employees,,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,http://www.readz.com/,07-10-2021 23:05,0,83,178,130.5,CA,,California
PayPal,Data scientist,"San Jose, CA",$114K - $197K (Glassdoor est.),4.1,24h,10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.paypal.com/,07-10-2021 23:05,0,114,197,155.5,CA,23.0,California
ByteDance,Research Scientist in NLP,"Mountain View, CA",$104K - $225K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,104,225,164.5,CA,9.0,California
Matroid,Deep Learning Engineer,"Palo Alto, CA",$94K - $190K (Glassdoor est.),4.7,1d,1 to 50 Employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,http://www.matroid.com/,07-10-2021 23:05,0,94,190,142.0,CA,5.0,California
Gauss Labs Inc,Computer Vision and Image Processing Applied Scientist,"San Jose, CA",$160K (Employer est.),,21d,,,,,,,,07-10-2021 23:05,0,160,160,160.0,CA,,California
Bosch Group,Research Scientist – Machine learning,"Sunnyvale, CA",$97K - $199K (Glassdoor est.),3.9,1d,10000+ Employees,1886.0,Company - Private,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD),http://www.bosch.us/,07-10-2021 23:05,0,97,199,148.0,CA,135.0,California
"Krypt, Inc.",Machine Learning Ops Expert,"San Jose, CA",$86K - $179K (Glassdoor est.),4.5,30d+,51 to 200 Employees,2008.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),http://www.kryptinc.com/,07-10-2021 23:05,0,86,179,132.5,CA,13.0,California
ByteDance,Applied Machine Learning Engineer,"Mountain View, CA",$94K - $197K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,94,197,145.5,CA,9.0,California
"JPMorgan Chase Bank, N.A.",Applied AI Machine Learning engineer,"Palo Alto, CA",$86K - $177K (Glassdoor est.),3.6,19d,10000+ Employees,1799.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$10+ billion (USD),http://www.chase.com/,07-10-2021 23:05,0,86,177,131.5,CA,222.0,California
ByteDance,"Research Scientist, Machine Learning Fairness","Mountain View, CA",$105K - $238K (Glassdoor est.),4.3,8d,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,105,238,171.5,CA,9.0,California
Amazon.com Services LLC,Applied Scientist- AWS AI,"Santa Clara, CA",$96K - $209K (Glassdoor est.),3.8,24h,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,96,209,152.5,CA,27.0,California
"Agilent Technologies, Inc.",Digital Data Scientist,"Santa Clara, CA",$87K - $178K (Glassdoor est.),4.2,24h,10000+ Employees,1999.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),http://www.agilent.com/go/careers,07-10-2021 23:05,0,87,178,132.5,CA,22.0,California
ByteDance,"Research Scientist, Deep Learning","Mountain View, CA",$110K - $244K (Glassdoor est.),4.3,30d+,10000+ Employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.bytedance.com/,07-10-2021 23:05,0,110,244,177.0,CA,9.0,California
Gauss Labs Inc,Machine Learning and Data Science Applied Scientist,"San Jose, CA",$160K (Employer est.),,21d,,,,,,,,07-10-2021 23:05,0,160,160,160.0,CA,,California
Amazon.com Services LLC,Applied Scientist - Machine Learning,"Palo Alto, CA",$99K - $204K (Glassdoor est.),3.8,30d+,,,,,,,,07-10-2021 23:05,0,99,204,151.5,CA,,California
Brambles Group,Data Scientist - Computer Vision,"Santa Clara, CA",$79K - $167K (Glassdoor est.),3.4,8d,10000+ Employees,1875.0,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$5 to $10 billion (USD),http://www.brambles.com/,07-10-2021 23:05,0,79,167,123.0,CA,146.0,California
TikTok,Research Scientist in Multimodal Machine Learning,"Mountain View, CA",$102K - $236K (Glassdoor est.),3.6,30d+,501 to 1000 Employees,2016.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,http://www.tiktok.com/,07-10-2021 23:05,0,102,236,169.0,CA,5.0,California
"Amazon Dev Center U.S., Inc.",Applied Scientist - AWS,"Santa Clara, CA",$102K - $210K (Glassdoor est.),3.8,21d,10000+ Employees,1994.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.amazon.jobs/,07-10-2021 23:05,0,102,210,156.0,CA,27.0,California
Cisco Systems,Data Scientist,"San Jose, CA",$107K - $184K (Glassdoor est.),4.3,1d,10000+ Employees,1984.0,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.cisco.com/,07-10-2021 23:05,0,107,184,145.5,CA,37.0,California
Tesla,"Deep Learning Engineer, Autopilot AI","Palo Alto, CA",$89K - $181K (Glassdoor est.),3.7,24h,10000+ Employees,2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),http://www.tesla.com/,07-10-2021 23:05,0,89,181,135.0,CA,18.0,California
Samsung Research America,Research Scientist – Multimodal Machine Learning,"Mountain View, CA",$119K - $235K (Glassdoor est.),3.4,30d+,1001 to 5000 Employees,1938.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$10+ billion (USD),http://www.samsung.com/,07-10-2021 23:05,0,119,235,177.0,CA,83.0,California
PayPal,"Data Scientist, Analytics - BNPL","San Jose, CA",$95K - $175K (Glassdoor est.),4.1,30d+,10000+ Employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),http://www.paypal.com/,07-10-2021 23:05,0,95,175,135.0,CA,23.0,California
